諸注意,Important Notes
本編開始,Begin Main Story
本編設定について、MOD作者の理解が甘い部分がある場合があります。\nあくまで二次創作として、優しいまなざしでお楽しみください。,There may be areas where the mod creator's understanding of the main story is lacking. Please be charitable when you enjoy this fan-made content.
こんなところにいられるか！,I can't just stand here like this!
街へもどります。,Heading back to town.
あははっ♪おっさき～♪,Ahaha♪ Pardon me~♪
ちょっwまってよ～ww,Wai-; hahaha; wait up~ hahahaha.
おいお前ら！廊下は走るなっ！,Hey; you two! Are you running in the hall?!
あっやばっ！にっげろ～～♪,Oh no! Gotta run~~♪
ちょwおいてくなし～ww,Wait; haha; don't ditch me~ hahaha.
こら待て！...くそっ、あいつら逃げ足だけは速いんだよな...,Hold on! ...Damn; those girls sure can run away quickly...
俺はこの春から、念願の教師デビューを果たした。,This spring; I finally achieved my long-cherished dream of becoming a teacher.
俺は教師になるのが子供のときからの夢だった。\n生徒たちとぶつかりながらも傍で成長を支える...\nそんなカッコイイ大人の姿が、俺の憧れだった。,Becoming a teacher was my childhood dream. I aspired to be the kind of cool adult who supported their students' growth while helping them navigate through their struggles. 
（まぁ、あれはただの小説だったけど...）,(Well; I guess that kind of thing only happens in novels...)
俺は一生懸命勉強し、教師養成学校では主席の成績で卒業した。\nそしてやっとの思いで赴任に至ったのだが...,I studied hard and graduated at the top of my class from the teaching college. And after finally managing to get assigned to a post...
（まさか、赴任先が<color=#FA91FF>女子校</color>とは...）,(Who would have thought I'd be assigned to an <color=#FA91FF>all-girls</color> school...)
俺の思い描いた教師イメージは、完全に<color=#6CF8FF>男子生徒</color>とのやりとりだった。\nしかし実際は、<color=#FA91FF>女子校</color>。生徒は<color=#FA91FF>女子</color>しかいない。\n同僚からはなぜか羨ましがられたが...,The image I had in my mind of myself as a teacher completely involved guiding <color=#6CF8FF>male students</color>. However; in reality; this is an <color=#FA91FF>all-girls school</color>. With only <color=#FA91FF>female students</color>. My colleagues were jealous of me for some reason...
（まぁ、生徒を選り好みするのはいい先生じゃないよな！\n　...ん？あいつは...）,(Well; a teacher who's picky about his students wouldn't be a good teacher! ...Huh? This girl again...)
ん？何か用？せ・ん・せ❤, Hmm? What do you want? Se~n~se~i❤
こいつはキャミー。\n俺の担当する中では一番の<color=#BD00FF>問題児</color>だ。\nなんといっても不真面目で、素行が悪く、成績も当然悪い。,This is Cammy. She's the most <color=#BD00FF>troublesome girl</color> that I'm in charge of. In the end; she doesn't take things seriously; has poor conduct; and naturally; her grades are bad.
なんか、お前が<color=#FF7E00>酒場</color>を出入りしてるってウワサを聞いたんだが...\nあそこは子供が行くようなところじゃ..., I heard some rumors that you've been frequenting a <color=#FF7E00>bar</color>... Kids like you shouldn't be going to places like that...
なぁんだ、いつもの説教～？\nそんなの知らないって言ってるじゃない。\n生徒の言うこと、信用できないの～？,What; it's just another one of your lectures~? Didn't I tell you that I don't know what you're talking about? Do you not trust what your students say~?
お前...自分の普段の行いを思い出してみろよ...\nそれに、目上の人には敬語つかえ！,You... Think about how you normally behave... Also; speak more politely to your elders!
え～？わたしとせんせーの仲じゃない♪\nそれにちゃんと授業には出席してるし、テストだって赤点ではないでしょ～？,Eh~? It's not like Sensei and I are that close♪ Besides; I'm attending classes properly and passing my tests; aren't I~?
そう。こいつのずる賢いところは<color=#BD00FF>『ギリギリセーフ』</color>を保っていることだ。\n出席日数も少なく成績も悪いが、それも<color=#BD00FF>『ギリギリセーフ』</color>なのだ。\nだから他の先生方もあまり強く言えていないように見える。,That's right. The most cunning thing about this girl is how she skirts <color=#BD00FF>right on the edge of being safe</color>. Her attendance and grades are both poor; but she still stays <color=#BD00FF>just within the bounds of safety</color>. That's probably why the other teachers don't seem to speak up very strongly either.
（やっぱりこいつ、完全に大人をナメてるな...）,(Just like I thought; this girl really does think she can walk all over adults...)
